area,item,amount [t],absolute_losses [t],relative_losses,al/capita [kg]
Afghanistan,"Vegetables, Other",3337911.624834892,10.375136940274388,3.108262248252558e-06,0.00027070734308762
Afghanistan,Wheat and products,7523275.898965804,-500.55646942928433,-6.65388033858072e-05,-0.013060484182962255
Afghanistan,Wine,0.0,0.0,0.0,0.0
Afghanistan,Wool (Clean Eq.),13710.858458334824,-0.00028386870690155774,-2.0703934344723507e-08,-7.4066823284750526e-09
Afghanistan,Yams,0.0,0.0,0.0,0.0
Albania,Abaca,0.0,0.0,0.0,0.0
Albania,"Alcohol, Non-Food",580.8676813410689,0.07756997346245953,0.00013352372411501445,2.700782118583056e-05
Albania,Apples and products,108894.1964533898,-0.08522410903242417,-7.82632853857379e-07,-2.9672789543796475e-05
Albania,Asses,0.0,0.0,0.0,0.0
Albania,Bananas,27051.999753939726,0.0,0.0,0.0
Albania,Barley and products,23752.00110381305,-4.266290488885716e-06,-1.7961809817279573e-10,-1.4854099532004872e-09
Albania,Beans,24682.247441987067,3.8134749409546203,0.0001544788759043625,0.0013277515087947343
Albania,Beer,84126.9755211816,113.31268297851784,0.0013451127173722544,0.039452491000935834
Albania,"Beverages, Alcoholic",3943.604754357164,2.791590307196657,0.0007073770760432918,0.0009719582007766559
Albania,"Beverages, Fermented",0.0,0.0,0.0,0.0
Albania,Bovine Meat,33980.48865974544,-0.032385688959038816,-9.530681017722031e-07,-1.1275843697548097e-05
Albania,Buffaloes,0.0,0.0,0.0,0.0
Albania,"Butter, Ghee",3999.1565516036617,0.0011139266853206209,2.78540327358634e-07,3.878399255328348e-07
Albania,"Camelids, other",0.0,0.0,0.0,0.0
Albania,Camels,0.0,0.0,0.0,0.0
Albania,Cassava and products,0.0,0.0,0.0,0.0
Albania,Cattle,283297.19690195617,-0.3464449687162414,-1.2229044132894273e-06,-0.00012062301104624144
Albania,"Cereals, Other",917.7042423513806,-9.002024455639912e-05,-9.809288137319072e-08,-3.1342677579496444e-08
Albania,"Citrus, Other",16.0,0.0,0.0,0.0
Albania,Cloves,0.0,0.0,0.0,0.0
Albania,Cocoa Beans and products,0.0,0.0,0.0,0.0
Albania,Coconut Oil,0.0,0.0,0.0,0.0
Albania,Coconuts - Incl Copra,0.0,0.0,0.0,0.0
Albania,Coffee and products,7996.15026069247,0.0,0.0,0.0
Albania,Copra Cake,16.95697678596091,0.0,0.0,0.0
Albania,Cotton lint,248.86297459836177,1.772048511838875e-05,7.120578660035903e-08,6.169806073676593e-09
Albania,Cottonseed,1000.0,0.0,0.0,0.0
Albania,Cottonseed Cake,27.015213611859416,-0.015213611859415721,-0.0005634671059042695,-5.2969788482470225e-06
Albania,Cottonseed Oil,126.70418834467364,-54.70418834467364,-0.7597803936760228,-0.0190465572048179
Albania,Dates,15013.525473030684,-13.525473030684225,-0.0009016982020455533,-0.0047092133819444885
Albania,Eggs,53534.89210036847,1.462576732992602,2.73193186539622e-05,0.0005092306869788631
Albania,"Fats, Animals, Raw",3993.2625137634273,0.013647298361775029,3.417569386932051e-06,4.7516297527531934e-06
Albania,"Fish, Seafood",21756.156368428048,0.0,0.0,0.0
Albania,Fodder crops,6408178.905014191,0.0,0.0,0.0
Albania,"Fruits, Other",166560.24469581255,1.7474231017404236,1.0491127534595357e-05,0.0006084066883255367
Albania,Goats,748406.9796464219,0.038916874676942825,5.1999612171726994e-08,1.3549830501036801e-05
Albania,Grapefruit and products,0.0,0.0,0.0,0.0
Albania,Grapes and products (excl wine),203929.95822181593,21.50787896910333,0.00010545586839993959,0.007488476833953662
Albania,Grazing,9615854.0,0.0,0.0,0.0
Albania,Groundnut Cake,39.0,0.0,0.0,0.0
Albania,Groundnut Oil,64.0,0.0,0.0,0.0
Albania,Groundnuts,1000.6463552194064,0.0,0.0,0.0
Albania,"Hard Fibres, Other",0.0,0.0,0.0,0.0
Albania,Hides and skins,13906.01901544951,-0.007283222676051082,-5.237463347462779e-07,-2.5358262599712e-06
Albania,Honey,5000.0,0.0,0.0,0.0
Albania,Hops,1801.735113635004,-0.010320132661490788,-5.727918436004842e-06,-3.593198309787784e-06
Albania,Horses,2.9771830084467696,2.0536782010527332e-05,6.89801073339158e-06,7.150366456437324e-09
Albania,Jute,0.0,0.0,0.0,0.0
Albania,Jute-Like Fibres,0.0,0.0,0.0,0.0
Albania,"Lemons, Limes and products",9489.61521250732,9.17820897017009,0.0009662499817520986,0.0031956105643442634
Albania,Maize Germ Oil,1744.0452756599675,0.09818666923524688,5.629506480164803e-05,3.4186011508966124e-05
Albania,Maize and products,478303.1166027548,0.3900650204741396,8.155177937396729e-07,0.0001358103639021004
Albania,"Meat, Other",0.0,0.0,0.0,0.0
Albania,Milk - Excluding Butter,1072004.690679181,0.2824431830085814,2.63471896189138e-07,9.833927538397683e-05
Albania,Millet and products,0.0,0.0,0.0,0.0
Albania,Mules,0.0,0.0,0.0,0.0
Albania,Mutton & Goat Meat,23994.076461317247,0.0012834717927034944,5.349119092112886e-08,4.468710652733318e-07
Albania,Nuts and products,16877.448297946365,0.05056428790339851,2.995958602425297e-06,1.760515293646127e-05
Albania,Oats,36000.0,0.0,0.0,0.0
Albania,"Offals, Edible",14150.61493377824,0.6292477057104406,4.4465892725775724e-05,0.0002190874736555938
Albania,"Oil, palm fruit",0.0,0.0,0.0,0.0
Albania,"Oilcrops Oil, Other",3691.0142090038016,-4.547473508864641e-13,-2.220446049250313e-16,-1.5833104730164167e-16
Albania,"Oilcrops, Other",0.0,0.0,0.0,0.0
Albania,"Oilseed Cakes, Other",638.8013386799645,0.001508903693661523,2.3620804123769545e-06,5.253605142042745e-07
Albania,Olive Oil,13816.825191258624,0.0,0.0,0.0
Albania,Olives (including preserved),139818.4895075656,0.0,0.0,0.0
Albania,Onions,106686.94509169448,0.054908305522985756,5.146672558131726e-07,1.911762542885794e-05
Albania,"Oranges, Mandarines",63455.03299742255,-0.03598541219253093,-5.671013141306247e-07,-1.2529172493073408e-05
Albania,Palm Oil,1974.5080872212884,0.0,0.0,0.0
Albania,Palm kernels,0.0,0.0,0.0,0.0
Albania,Palmkernel Cake,0.0,0.0,0.0,0.0
Albania,Palmkernel Oil,0.0,0.0,0.0,0.0
Albania,Peas,0.0,0.0,0.0,0.0
Albania,Pepper,0.0,0.0,0.0,0.0
Albania,Pigmeat,14134.60567421405,2.1071900685965375,0.00014905799451581103,0.0007336680681572691
Albania,Pigs,168697.0523677093,30.662891626707278,0.00018173002330756916,0.01067601105336711
Albania,Pimento,0.0,0.0,0.0,0.0
Albania,Pineapples and products,995.5739858835076,0.05220820727060982,5.243755897588187e-05,1.817752235122011e-05
Albania,Plantains,0.0,0.0,0.0,0.0
Albania,Potatoes and products,263283.40043132217,0.0,0.0,0.0
Albania,Poultry Birds,10902964.689689718,334.56086820364,3.0684369979661064e-05,0.11648528033328574
Albania,Poultry Meat,38263.61715693241,5.449845922768873,0.00014240864357528693,0.001897492774619837
Albania,"Pulses, Other and products",3537.024510247757,13.639362843455729,0.0038413556819112404,0.004748866814334911
Albania,Rabbits and hares,0.0,0.0,0.0,0.0
Albania,Rape and Mustard Cake,0.0,0.0,0.0,0.0
Albania,Rape and Mustard Oil,0.0,0.0,0.0,0.0
Albania,Rape and Mustardseed,0.0,0.0,0.0,0.0
Albania,Rice and products,19300.162445421633,4971.584481353646,0.20483010540412572,1.730974740472627
Albania,Ricebran Oil,0.0,0.0,0.0,0.0
Albania,"Rodents, other",0.0,0.0,0.0,0.0
Albania,"Roots, Other",0.0,0.0,0.0,0.0
Albania,Rubber,0.0,0.0,0.0,0.0
Albania,Rye and products,3000.0,0.0,0.0,0.0
Albania,Seed cotton,691.0,0.0,0.0,0.0
Albania,Sesame seed,0.0,0.0,0.0,0.0
Albania,Sesameseed Cake,0.0,0.0,0.0,0.0
Albania,Sesameseed Oil,0.0,0.0,0.0,0.0
Albania,Sheep,1218799.822404432,0.07681263564154506,6.302317201445362e-08,2.6744136108583195e-05
Albania,Silk,0.0,0.0,0.0,0.0
Albania,Sisal,0.0,0.0,0.0,0.0
Albania,"Soft-Fibres, Other",0.0,0.0,0.0,0.0
Albania,Sorghum and products,0.0,0.0,0.0,0.0
Albania,Soyabean Cake,20265.746521488418,0.0,0.0,0.0
Albania,Soyabean Oil,1015.377062251909,0.0,0.0,0.0
Albania,Soyabeans,441.0,0.0,0.0,0.0
Albania,"Spices, Other",343.0,0.0,0.0,0.0
Albania,Sugar (Raw Equivalent),50437.89635205605,0.0,0.0,0.0
Albania,Sugar beet,27000.0,0.0,0.0,0.0
Albania,Sugar cane,0.0,0.0,0.0,0.0
Albania,Sugar non-centrifugal,0.0,0.0,0.0,0.0
Albania,Sunflower seed,1000.0,0.0,0.0,0.0
Albania,Sunflowerseed Cake,1637.714428470367,0.0,0.0,0.0
Albania,Sunflowerseed Oil,16706.66386013131,0.0,0.0,0.0
Albania,Sweet potatoes,0.0,0.0,0.0,0.0
Albania,"Sweeteners, Other",50627.523161590885,384.0683374190994,0.007529040481447313,0.1337224768443975
Albania,Tea (including mate),0.0,0.0,0.0,0.0
Albania,Tobacco,4231.7775198613035,0.0,0.0,0.0
Albania,Tomatoes and products,318917.7239729961,9.276026961102616,2.9085110263782354e-05,0.0032296682117810183
Albania,"Vegetables, Other",878144.0667137654,-1.4231523025082424,-1.6206390989204067e-06,-0.0004955041389171947
Albania,Wheat and products,483443.5748142705,-0.1459372965618968,-3.0187047306284853e-07,-5.081152195823197e-05
Albania,Wine,5962.705570380607,0.219343400202888,3.678453164757123e-05,7.636959336899375e-05
Albania,Wool (Clean Eq.),2829.9410160525345,0.00016045157144617406,5.6697846861908374e-08,5.5865010095703904e-08
Albania,Yams,0.0,0.0,0.0,0.0
Algeria,Abaca,0.0,0.0,0.0,0.0
Algeria,"Alcohol, Non-Food",1937.1258265815736,2.5769312272072966,0.0013285186180372888,5.980209335208072e-05
Algeria,Apples and products,571637.3506228806,-0.2485327209578827,-4.3477360023302936e-07,-5.767626556288504e-06
Algeria,Asses,0.0,0.0,0.0,0.0
Algeria,Bananas,256249.9839970976,0.0,0.0,0.0
Algeria,Barley and products,2111459.881407918,-0.00033369800075888634,-1.5804135777841566e-10,-7.744032429772062e-09
Algeria,Beans,49427.48520681356,10.43201608833624,0.0002110124510565914,0.0002420927626544326
Algeria,Beer,169765.31954569204,9.626719612278976,5.670282820902095e-05,0.00022340448159794936
Algeria,"Beverages, Alcoholic",3693.4671350930985,8.49536189771834,0.0022948265695894587,0.00019714939223179872
Algeria,"Beverages, Fermented",0.0,0.0,0.0,0.0
Algeria,Bovine Meat,165932.60036710894,1.1339841116569005,6.833957640339783e-06,2.631603939953616e-05
Algeria,Buffaloes,0.0,0.0,0.0,0.0
Algeria,"Butter, Ghee",14842.968545216056,0.06507097101712134,4.383940149899068e-06,1.510083095036123e-06
Algeria,"Camelids, other",0.0,0.0,0.0,0.0
Algeria,Camels,45504.30025721187,0.09414063949225238,2.0688252362344173e-06,2.184694434876889e-06
Algeria,Cassava and products,1987.232139070087,0.0,0.0,0.0
Algeria,Cattle,638470.6793698319,4.083742445567623,6.396090623361772e-06,9.477022296025902e-05
Algeria,"Cereals, Other",7227.421853561501,-0.004007552950497484,-5.544930479217669e-07,-9.300211551193951e-08
Algeria,"Citrus, Other",1000.0,0.0,0.0,0.0
Algeria,Cloves,1999.9999999999995,0.0,0.0,0.0
Algeria,Cocoa Beans and products,1982.0354611558864,0.0,0.0,0.0
Algeria,Coconut Oil,1911.3286816446816,0.0,0.0,0.0
Algeria,Coconuts - Incl Copra,999.38032416344,0.0,0.0,0.0
Algeria,Coffee and products,84997.12200125384,0.0,0.0,0.0
Algeria,Copra Cake,86.66899246157797,0.0,0.0,0.0
Algeria,Cotton lint,7945.387296641152,10.551648160566401,0.0013262605751217516,0.000244869029353317
Algeria,Cottonseed,54.0,0.0,0.0,0.0
Algeria,Cottonseed Cake,35.86663578153783,-0.007229111687557577,-0.00020159596487800968,-1.677638919609239e-07
Algeria,Cottonseed Oil,25.993939046526467,-25.993939046526467,-1.0,-0.0006032337817308865
Algeria,Dates,1152006.426936075,-6.426936075091362,-5.578937565253739e-06,-0.00014914803587792876
Algeria,Eggs,293653.42451536574,4.8369621825404465,1.647139827842814e-05,0.00011224997428210328
Algeria,"Fats, Animals, Raw",11940.383672937123,0.027818526290502632,2.329779531518028e-06,6.455764471234468e-07
Algeria,"Fish, Seafood",108267.29832037084,0.0,0.0,0.0
Algeria,Fodder crops,4094070.514063196,0.0,0.0,0.0
Algeria,"Fruits, Other",962682.116460072,2.849029300035909,2.9594617161343706e-06,6.611659417399534e-05
Algeria,Goats,1838630.7995713016,1.2741763000376523,6.930023239704042e-07,2.956943873292232e-05
Algeria,Grapefruit and products,2000.0,0.0,0.0,0.0
Algeria,Grapes and products (excl wine),583205.7802780964,120.13703047542367,0.0002059518134043259,0.0027879851179882158
Algeria,Grazing,22232517.0,0.0,0.0,0.0
Algeria,Groundnut Cake,32788.34727508443,0.0,0.0,0.0
Algeria,Groundnut Oil,29301.47209569655,0.0,0.0,0.0
Algeria,Groundnuts,100483.9756124415,0.0,0.0,0.0
Algeria,"Hard Fibres, Other",0.0,0.0,0.0,0.0
Algeria,Hides and skins,73328.82353548017,0.37733986690000165,5.1458336159937446e-06,8.756816521747382e-06
Algeria,Honey,5000.0,0.0,0.0,0.0
Algeria,Hops,0.0,0.0,0.0,0.0
Algeria,Horses,2724.5907990971637,0.006127899308921769,2.249103068452385e-06,1.4220837663620397e-07
Algeria,Jute,0.0,0.0,0.0,0.0
Algeria,Jute-Like Fibres,0.0,0.0,0.0,0.0
Algeria,"Lemons, Limes and products",85000.0,0.0,0.0,0.0
Algeria,Maize Germ Oil,474.7077969920598,0.0006311532399081443,1.3295597939277926e-06,1.4646989634007323e-08
Algeria,Maize and products,4759460.971924933,6.673803122714162,1.4022163021820688e-06,0.0001548770076376798
Algeria,"Meat, Other",15591.345518369832,0.08099009941179247,5.194527862295573e-06,1.8795136767647598e-06
Algeria,Milk - Excluding Butter,3563676.156263301,8.89849603921175,2.496992832501377e-06,0.00020650480898039652
Algeria,Millet and products,5005.491679167127,-0.0005792014690086944,-1.1571321523184963e-07,-1.3441359999683795e-08
Algeria,Mules,0.0,0.0,0.0,0.0
