,area,item,amount [t],comm_group,group
114,Afghanistan,"Sweeteners, Other",17645.35595131973,"Sugar, sweeteners",Crop products
115,Afghanistan,Tea (including mate),14977.066100792543,"Coffee, tea, cocoa",Primary crops
116,Afghanistan,Tobacco,0.0,"Tobacco, rubber",Primary crops
117,Afghanistan,Tomatoes and products,16998.999910432398,"Vegetables, fruit, nuts, pulses, spices",Primary crops
118,Afghanistan,"Vegetables, Other",3337921.999971832,"Vegetables, fruit, nuts, pulses, spices",Primary crops
119,Afghanistan,Wheat and products,6859469.486379411,Cereals,Primary crops
120,Afghanistan,Wine,0.0,Alcohol,Crop products
121,Afghanistan,Wool (Clean Eq.),13710.638566376349,"Hides, skins, wool",Livestock products
122,Afghanistan,Yams,0.0,Roots and tubers,Primary crops
123,Albania,Abaca,0.0,Fibre crops,Primary crops
124,Albania,"Alcohol, Non-Food",579.3336694821476,Ethanol,Crop products
125,Albania,Apples and products,108894.11122928077,"Vegetables, fruit, nuts, pulses, spices",Primary crops
126,Albania,Asses,0.0,Live animals,Livestock
127,Albania,Bananas,27051.999753939726,"Vegetables, fruit, nuts, pulses, spices",Primary crops
128,Albania,Barley and products,21825.985979024943,Cereals,Primary crops
129,Albania,Beans,24686.02858548897,"Vegetables, fruit, nuts, pulses, spices",Primary crops
130,Albania,Beer,79931.8032360043,Alcohol,Crop products
131,Albania,"Beverages, Alcoholic",3927.9805593190813,Alcohol,Crop products
132,Albania,"Beverages, Fermented",0.0,Alcohol,Crop products
133,Albania,Bovine Meat,33966.8027664277,Meat,Livestock products
134,Albania,Buffaloes,0.0,Live animals,Livestock
135,Albania,"Butter, Ghee",3996.6681333998113,Milk,Livestock products
136,Albania,"Camelids, other",0.0,Live animals,Livestock
137,Albania,Camels,0.0,Live animals,Livestock
138,Albania,Cassava and products,0.0,Roots and tubers,Primary crops
139,Albania,Cattle,283177.43199933064,Live animals,Livestock
140,Albania,"Cereals, Other",887.8520848643764,Cereals,Primary crops
141,Albania,"Citrus, Other",16.0,"Vegetables, fruit, nuts, pulses, spices",Primary crops
142,Albania,Cloves,0.0,"Vegetables, fruit, nuts, pulses, spices",Primary crops
143,Albania,Cocoa Beans and products,0.0,"Coffee, tea, cocoa",Primary crops
144,Albania,Coconut Oil,0.0,Vegetable oils,Crop products
145,Albania,Coconuts - Incl Copra,0.0,Oil crops,Primary crops
146,Albania,Coffee and products,7996.15026069247,"Coffee, tea, cocoa",Primary crops
147,Albania,Copra Cake,16.95697678596091,Oil cakes,Crop products
148,Albania,Cotton lint,248.86297459836175,Fibre crops,Crop products
149,Albania,Cottonseed,1000.0,Fibre crops,Crop products
150,Albania,Cottonseed Cake,27.0,Oil cakes,Crop products
151,Albania,Cottonseed Oil,72.0,Vegetable oils,Crop products
152,Albania,Dates,15000.0,"Vegetables, fruit, nuts, pulses, spices",Primary crops
153,Albania,Eggs,52914.627491862586,Eggs,Livestock products
154,Albania,"Fats, Animals, Raw",3992.300675093376,Animal fats,Livestock products
155,Albania,"Fish, Seafood",21756.156368428048,Fish,Fish
156,Albania,Fodder crops,6408178.905014191,Fodder crops,Primary crops
157,Albania,"Fruits, Other",166561.9921189143,"Vegetables, fruit, nuts, pulses, spices",Primary crops
158,Albania,Goats,748323.9776224266,Live animals,Livestock
